Program,Payer type,Who qualifies,What it covers,Coverage,Vendor requirement,Onboarding lead time,Priority for H2,Internal owner,Notes
ADP (Assistive Devices Program),Provincial,"Ontario resident with valid health card, long-term (6+ month) physical disability","Wheelchairs/mobility & seating, respiratory, oxygen, prosthetics, orthotics, communication aids, enteral feeding, +8,000 items","Up to 75% of approved price; 100% for OW/ODSP/ACSD recipients",Registered ADP vendor per device category,"~6 months for NEW categories; immediate if already registered",P0 (maximize existing) / P1 (new categories),Funding & Intake desk + outside sales,Core bread-and-butter. Needs registered authorizer (OT/PT/physician) assessment per client.
ODSP top-up,Provincial social assistance,ODSP/OW recipients,Pays the ADP client co-pay; some supplies/repairs/batteries via Mandatory Special Necessities,Covers the 25% ADP gap + select supplies,Same ADP vendor registration,Immediate,P0,Funding & Intake desk,Convert every ODSP client to 100%-funded. Pure margin capture on existing pipeline.
Ontario Health atHome (formulary),Provincial home care,Patients assessed as needing publicly funded home care,Equipment & supplies on the provincial formulary,100% publicly funded,Prequalified + on provincial formulary / regional contract (or subcontract to incumbent),"Months (prequalification + procurement cycle)",P1-P2,Institutional BD (M. Alyoussef) + CEO,Incumbents include Medigas/OMS/Rexall. Pursue formulary listing or regional subcontracting.
Hospital-at-Home / Hospital-to-Home (H2H),Provincial / hospital,Acute patients receiving hospital-level care at home,"Short-term rentals: beds, oxygen, mobility, monitoring, safety",Funded via hospital / Ontario Health atHome,Hospital contract or discharge-list vendor; rapid-fulfillment SLA,Weeks-months (relationship + SLA),P1,Institutional BD (M. Alyoussef),"$1.1B / 47-site expansion. Rental + fast delivery is the wedge. Build a rental fleet."
WSIB,Workplace insurer,Workers with approved workplace injuries,"Assistive devices, mobility, home mods related to the claim",100% of approved device; direct bill,Enroll as WSIB provider; per-claim approval,Weeks,P0,Funding & Intake desk,Fast-pay, high-value, often complex/bariatric. Underused channel for most HME shops.
Veterans Affairs Canada (VAC),Federal (via Medavie Blue Cross),Eligible veterans,"Mobility aids, bathroom safety, CPAP, ostomy/catheter, hearing, prosthetics",100%; direct bill,Register as provider with Medavie Blue Cross,Weeks,P0,Funding & Intake desk,Loyal, high-retention clients. Recurring supply potential.
NIHB (Non-Insured Health Benefits),Federal,Registered First Nations & Inuit clients,Medical equipment & supplies,100%; no annual cap when prescribed; direct bill,NIHB-registered vendor,Weeks,P1,Funding & Intake desk,Needs Rx + letter of medical necessity + quote + prior approval over standard rate.
March of Dimes HVMP ("MOD"),Provincial (Min. Seniors & Accessibility),"Ontario resident, household income < $60k, disability 1+ yr impeding mobility/ADLs","Home mods (ramps, roll-in showers, stairlifts); vehicle mods",Home: lifetime $15k; Vehicle: $15k / 10 yrs,Client applies; you quote/supply/install,Per application,P1,Outside sales + Funding desk,Pairs with mods/install work. Get on installer/vendor radar; help clients apply.
Private insurance (Manulife / Sun Life / Canada Life / GreenShield),Private extended health,Plan members with DME benefit + prescription,"DME: wheelchairs, beds, mobility, CPAP, etc. (medically necessary)","Often 100% up to ~$5k-$10k/yr; gap billed to client",Assignment of Benefits (AOB) set-up; predetermination per claim,Days-weeks,P0,Funding & Intake desk + RCM,"Biggest fast-unlock. AOB = you bill insurer directly. Verify benefits before quoting."
Ontario Renovates,Municipal,Low-income homeowners,Accessibility home modifications,Varies by municipality (grant/forgivable loan),Quote/supply/install,Per application,P2,Outside sales,Stacks with MOD HVMP for home-mod jobs.
Self-pay + financing,Private,Anyone,Anything,Client pays; offer financing,None,Immediate,P0,All sales,Offer financing on co-pays/gaps so price never kills a deal.
