Lever,Driver (Base),Conservative $/mo,Base $/mo,Stretch $/mo,Notes
HVMP / Ontario Renovates accessibility jobs,5 jobs x $6000,12000,30000,72000,"Stairlifts/ramps/ceiling lifts/bath mods - ADP does NOT fund these; HVMP gives $15k. Highest-ticket lever for your catalog."
Insurance via Assignment of Benefits,10 deals x $1800,9000,18000,39600,"Non-ADP items + 25% co-pay; direct-bill Manulife/Sun Life/Canada Life/GreenShield."
WSIB / VAC / NIHB,7 deals x $2000,6000,14000,24000,"New client pools; 100% + direct bill."
Referral engine uplift,15% of base,8000,15000,25000,"OT/PT/discharge/retirement referrals lift existing sales."
Recurring (resupply / PM / reactivation),90 accts x $120,4800,10800,18000,"Incontinence resupply + PM contracts + ADP re-eligibility reactivation."
Hospital-at-Home rentals,35 units x $250,3750,8750,18750,"You already rent beds/lifts/chairs/scooters - point fleet at acute-at-home."
ODSP 100% conversion,direct,1500,3000,5000,"Move eligible existing ADP clients 75% -> 100%."
TOTAL INCREMENTAL / MONTH,,45050,99550,202350,
BASELINE / MONTH,measured 4 streams,100000,100000,100000,"Combined assumption; B2B + outside sales additional."
TARGET MONTHLY REVENUE,,145050,199550,302350,
MULTIPLE OF BASELINE,,1.45x,2.00x,3.02x,
ANNUALIZED RUN-RATE,,1740600,2394600,3628200,
